G: 0, S: 0, Sc: 2549
G: 10, S: 0, Sc: 2200
G: 11, S: 0, Sc: 1005
G: 11, S: 12877, Sc: 930
G: 11, S: 16526, Sc: 171
G: 11, S: 19558, Sc: 930
G: 11, S: 20528, Sc: 167
G: 12, S: 0, Sc: 338
G: 12, S: 1155, Sc: 934
G: 12, S: 12700, Sc: 1468
G: 12, S: 18660, Sc: 1280
G: 12, S: 19102, Sc: 1364
G: 12, S: 24103, Sc: 1071
G: 12, S: 24762, Sc: 622
G: 12, S: 24803, Sc: 422
G: 12, S: 29992, Sc: 296
G: 12, S: 5864, Sc: 472
G: 13, S: 0, Sc: 136
G: 15, S: 0, Sc: 168
G: 16, S: 0, Sc: 1934
G: 17, S: 0, Sc: 1400
G: 18, S: 0, Sc: 381
G: 19, S: 0, Sc: 1300
G: 1, S: 0, Sc: 700
G: 20, S: 0, Sc: 1644
G: 21, S: 0, Sc: 620
G: 22, S: 0, Sc: 16
G: 23, S: 0, Sc: 15
G: 2, S: 0, Sc: 1780
G: 2, S: 13639, Sc: 2500
G: 2, S: 13948, Sc: 1250
G: 2, S: 15385, Sc: 1380
G: 2, S: 16783, Sc: 995
G: 2, S: 23027, Sc: 675
G: 2, S: 23862, Sc: 1260
G: 2, S: 25221, Sc: 1675
G: 2, S: 29639, Sc: 995
G: 2, S: 679, Sc: 680
G: 3, S: 0, Sc: 760
G: 3, S: 29060, Sc: 668
G: 3, S: 31960, Sc: 760
G: 3, S: 6094, Sc: 573
G: 3, S: 6876, Sc: 562
G: 4, S: 0, Sc: 2848
G: 4, S: 11006, Sc: 3298
G: 4, S: 12140, Sc: 1766
G: 4, S: 12272, Sc: 2966
G: 4, S: 12352, Sc: 2296
G: 4, S: 12976, Sc: 2532
G: 4, S: 13537, Sc: 2420
G: 4, S: 13661, Sc: 2956
G: 4, S: 13694, Sc: 2748
G: 4, S: 15766, Sc: 1088
G: 4, S: 16520, Sc: 3738
G: 4, S: 16868, Sc: 996
G: 4, S: 17014, Sc: 6032
G: 4, S: 177, Sc: 3184
G: 4, S: 17818, Sc: 3074
G: 4, S: 18451, Sc: 4384
G: 4, S: 19530, Sc: 7140
G: 4, S: 19542, Sc: 8378
G: 4, S: 19957, Sc: 2760
G: 4, S: 20701, Sc: 2296
G: 4, S: 2148, Sc: 2080
G: 4, S: 21695, Sc: 3372
G: 4, S: 21791, Sc: 2292
G: 4, S: 22290, Sc: 3832
G: 4, S: 22345, Sc: 1864
G: 4, S: 22572, Sc: 2860
G: 4, S: 23008, Sc: 1518
G: 4, S: 23344, Sc: 8730
G: 4, S: 23414, Sc: 3066
G: 4, S: 2584, Sc: 2956
G: 4, S: 2586, Sc: 2312
G: 4, S: 26137, Sc: 2416
G: 4, S: 26153, Sc: 2732
G: 4, S: 26930, Sc: 3708
G: 4, S: 28635, Sc: 4620
G: 4, S: 28921, Sc: 9320
G: 4, S: 2895, Sc: 5364
G: 4, S: 29697, Sc: 3952
G: 4, S: 29707, Sc: 4072
G: 4, S: 29971, Sc: 3956
G: 4, S: 30014, Sc: 3840
G: 4, S: 31051, Sc: 8280
G: 4, S: 32001, Sc: 2184
G: 4, S: 6045, Sc: 7464
G: 4, S: 6532, Sc: 996
G: 4, S: 7533, Sc: 2078
G: 4, S: 8269, Sc: 2540
G: 4, S: 8444, Sc: 2640
G: 4, S: 8466, Sc: 3714
G: 4, S: 8700, Sc: 4814
G: 5, S: 0, Sc: 394
G: 5, S: 11460, Sc: 760
G: 5, S: 14027, Sc: 371
G: 5, S: 15215, Sc: 563
G: 5, S: 15577, Sc: 560
G: 5, S: 22837, Sc: 340
G: 5, S: 22837, Sc: 340
G: 5, S: 24851, Sc: 495
G: 5, S: 32620, Sc: 674
G: 5, S: 32719, Sc: 470
G: 6, S: 0, Sc: 3966
G: 6, S: 10919, Sc: 3861
G: 6, S: 11993, Sc: 3659
G: 6, S: 13120, Sc: 3972
G: 6, S: 13185, Sc: 3746
G: 6, S: 13859, Sc: 3854
G: 6, S: 14118, Sc: 3860
G: 6, S: 1519, Sc: 3967
G: 6, S: 15379, Sc: 3966
G: 6, S: 15671, Sc: 3857
G: 6, S: 16393, Sc: 3969
G: 6, S: 16650, Sc: 3969
G: 6, S: 16903, Sc: 3966
G: 6, S: 17013, Sc: 4084
G: 6, S: 17114, Sc: 3968
G: 6, S: 18093, Sc: 3751
G: 6, S: 18588, Sc: 3862
G: 6, S: 19086, Sc: 3756
G: 6, S: 21458, Sc: 3545
G: 6, S: 21728, Sc: 3960
G: 6, S: 22079, Sc: 3748
G: 6, S: 23220, Sc: 3978
G: 6, S: 23256, Sc: 3971
G: 6, S: 24334, Sc: 3963
G: 6, S: 24513, Sc: 3965
G: 6, S: 24524, Sc: 3862
G: 6, S: 24732, Sc: 3961
G: 6, S: 25267, Sc: 3969
G: 6, S: 25460, Sc: 3860
G: 6, S: 25499, Sc: 3973
G: 6, S: 25536, Sc: 3742
G: 6, S: 26670, Sc: 3967
G: 6, S: 26708, Sc: 3744
G: 6, S: 26906, Sc: 3866
G: 6, S: 28599, Sc: 3857
G: 6, S: 2860, Sc: 3750
G: 6, S: 29169, Sc: 3857
G: 6, S: 31026, Sc: 3972
G: 6, S: 3703, Sc: 3860
G: 6, S: 5343, Sc: 3965
G: 6, S: 629, Sc: 3855
G: 6, S: 6839, Sc: 3852
G: 6, S: 7082, Sc: 3859
G: 6, S: 7610, Sc: 3970
G: 6, S: 8123, Sc: 3856
G: 6, S: 8466, Sc: 3747
G: 6, S: 8780, Sc: 3752
G: 6, S: 8856, Sc: 3966
G: 6, S: 9536, Sc: 3854
G: 6, S: 9816, Sc: 3856
G: 7, S: 0, Sc: 460
G: 7, S: 16651, Sc: 459
G: 7, S: 18705, Sc: 447
G: 7, S: 22828, Sc: 426
G: 7, S: 27669, Sc: 474
G: 8, S: 0, Sc: 5953
G: 8, S: 10596, Sc: 6056
G: 8, S: 14104, Sc: 6062
G: 8, S: 19012, Sc: 6165
G: 8, S: 20240, Sc: 5838
G: 8, S: 2629, Sc: 5399
G: 8, S: 28581, Sc: 6168
G: 8, S: 4491, Sc: 5832
G: 8, S: 5696, Sc: 6056
G: 8, S: 8000, Sc: 6056
G: 9, S: 0, Sc: 1146
G: 9, S: 10998, Sc: 919
G: 9, S: 23855, Sc: 260
G: 9, S: 26637, Sc: 52
G: 9, S: 4150, Sc: 1045
